calories,protein,fat,carbohydrates
69.0,3.13,0.89,12.3
50.0,3.36,1.9,4.9
34.0,3.43,0.08,4.92
1014.0000000000008,26.3,26.7,38.4
233.0,9.3,3.49,46.5
62.0,3.33,3.33,5.0
62.0,3.33,3.33,5.0
46.0,3.33,1.04,5.42
50.0,3.36,1.9,4.9
67.0,3.33,3.75,5.42
575.0,5.0,32.1,50.0
61.0,3.27,3.2,4.63
54.0,3.33,2.08,5.0
93.0,8.0,3.0,9.33
64.0,3.39,1.06,10.2
357.0,12.5,1.79,52.74000000000001
79.0,8.33,3.75,2.92
42.0,3.33,1.04,5.0
71.0,3.33,3.75,5.42
300.0,3.33,5.0,3.33
75.0,3.33,1.25,13.3
71.0,3.33,1.25,11.7
59.0,2.6,1.4,9.0
568.0,9.76,32.1,51.7
67.0,3.33,3.75,5.0
54.0,3.75,2.08,5.0
88.0,8.33,2.08,6.25
54.0,4.17,2.08,5.42
34.0,3.43,0.08,4.92
43.0,3.38,0.95,5.18
61.0,3.27,3.2,4.63
46.0,3.33,1.88,3.75
46.0,3.33,1.04,5.42
54.0,3.33,2.08,5.0
267.0,3.46,1.11,10.2
21.0,0.42,1.88,0.42
15.0,0.55,1.22,0.34
33.0,2.88,1.65,1.65
633.0,23.3,32.1,20.0
74.0,3.41,2.15,10.09
41.0,2.47,1.44,4.12
47.0,2.12,1.06,7.2
58.0,2.06,1.44,9.47
43.0,0.57,1.2,7.44
45.0,0.66,2.33,5.37
579.0,14.11,32.1,35.84
104.0,3.75,4.17,13.8
79.0,2.64,1.76,13.7
71.0,9.07,0.22,8.09
57.0,2.2,4.85,2.2
104.0,3.75,4.17,13.3
54.0,1.35,1.64,8.41
133.0,3.33,10.0,3.33
131.0,3.13,11.5,4.3
17.0,0.42,1.46,0.42
46.0,1.25,2.92,3.75
33.0,0.42,1.88,3.33
286.0,25.0,3.57,21.4
66.0,2.64,1.76,9.69
67.0,3.33,5.0,3.33
82.0,7.23,0.24,12.8
41.0,2.88,1.65,3.29
88.0,2.35,1.18,17.1
29.0,0.65,1.13,3.87
47.0,0.42,2.11,9.3
38.0,0.42,2.08,5.42
62.0,0.83,1.88,10.4
38.0,0.42,3.33,1.67
31.0,0.21,2.08,2.92
64.0,2.0,2.41,8.02
31.0,1.14,1.6,3.04
468.0,3.86,3.03,17.8
143.0,1.59,14.3,4.76
545.0,18.04,32.1,34.36
362.0,3.82,3.46,10.0
321.0,7.91,8.7,54.4
12.0,0.42,1.04,0.42
38.0,3.33,1.88,2.5
195.0,0.28,0.97,9.17
448.0,2.9,2.3,19.2
571.0,7.14,32.1,53.6
112.0,1.25,12.5,2.5
58.0,3.33,1.88,7.5
177.0,1.27,17.7,3.8
133.0,6.67,6.67,10.0
150.0,1.25,13.8,2.5
457.0,0.71,0.37,25.8
37.0,2.07,1.45,3.72
36.0,0.8,1.06,6.5
21.0,0.42,1.67,0.83
88.0,0.59,3.53,12.9
68.0,3.39,3.39,5.51
52.0,0.52,0.52,11.5
25.0,0.42,1.04,3.33
54.0,8.47,1.13,3.39
46.0,3.75,1.04,5.0
50.0,1.25,2.08,6.67
42.0,0.83,1.46,7.08
50.0,0.83,1.46,9.17
38.0,1.25,0.62,7.08
50.0,1.25,2.08,6.67
339.0,0.97,6.87,5.61
54.0,0.42,1.04,10.8
42.0,3.75,2.08,1.67
39.0,0.97,1.29,7.1
46.0,3.75,0.83,5.83
76.0,0.8,4.1,9.0
67.0,3.75,3.33,5.42
169.0,3.31,1.07,4.79
529.0,17.6,32.1,23.5
1014.0000000000008,16.3,22.0,9.8
357.0,21.4,28.6,3.57
286.0,28.6,16.1,3.57
1014.0000000000008,22.2,22.1,2.4
316.0,15.8,23.7,5.26
393.0,23.19,32.1,2.24
286.0,19.0,19.0,9.52
393.0,25.0,32.1,3.57
333.0,19.0,23.8,9.52
1014.0000000000008,24.2,32.1,2.13
393.0,27.0,31.0,1.44
391.0,26.1,30.4,4.35
286.0,28.6,17.9,3.57
393.0,25.0,32.1,3.57
286.0,25.0,21.4,3.57
1014.0000000000008,25.0,27.3,3.41
393.0,25.0,32.1,3.57
619.0,22.7,1.0,11.7
393.0,25.0,32.1,3.57
286.0,25.0,21.4,3.57
286.0,10.7,17.9,17.9
357.0,25.0,28.6,3.57
304.0,23.6,19.7,8.06
362.0,21.92,29.34,2.4
282.0,24.69,19.4,3.41
393.0,25.0,32.1,3.57
393.0,25.0,32.1,3.57
353.0,23.5,29.4,5.88
420.0,28.4,27.8,13.9
286.0,28.6,21.4,3.57
