kroger_product,description,calories,protein,fat,carbohydrates
horizon organic shelf-stable 1% low fat milk box - strawberry,"strawberry milk, low fat (1%)",69,3.13,0.89,12.3
kroger® 2% reduced fat milk quart,"milk, reduced fat (2%)",50,3.36,1.9,4.9
kroger® fat free skim milk half gallon,"milk, fat free (skim)",34,3.43,0.08,4.92
kroger® vitamin d whole milk half gallon,"milk, dry, whole, with added vitamin d",1014.0000000000008,26.3,26.7,38.4
simple truth organic® 100% grassfed whole milk half gallon,"simple truth organic, 100% whole wheat bread",233,9.3,3.49,46.5
organic valley® whole milk half gallon,"golden flow whole milk, one half gallon",62,3.33,3.33,5
organic valley® family first™ whole milk with dha & omega 3,organic dha omega-3 whole milk,62,3.33,3.33,5
horizon organic 1% lowfat strawberry milk,"horizon organic, 1% organic lowfat milk",46,3.33,1.04,5.42
simple truth organic® lactose free 2% reduced fat milk half gallon,"milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
simple truth organic® lactose free vitamin d whole milk half gallon,lactose free whole vitamin d milk,67,3.33,3.75,5.42
simple truth organic® 1% lowfat chocolate milk,"simple truth organic, dark chocolate",575,5,32.1,50
lala® whole milk,"milk, whole",61,3.27,3.2,4.63
horizon organic 2% reduced fat milk half gallon,"horizon organic, 2% organic reduced fat milk",54,3.33,2.08,5
maple hill® organic 100% grassfed whole milk,"organic 100% grassfed yogurt whole milk, blueberry",93,8,3,9.33
horizon organic lowfat chocolate milk,"horizon organic, lowfat milk, strawberry",64,3.39,1.06,10.2
simple truth organic® 1% lowfat milk bottles,"simple truth, organic spaghetti",357,12.5,1.79,52.74000000000001
"fairlife ultra-filtered milk, lactose free, high protein, whole milk",whole lactose free ultra-filtered milk,79,8.33,3.75,2.92
kroger® 1% lowfat milk gallon,"kroger, 1% lowfat milk",42,3.33,1.04,5
horizon organic grassfed vitamin d whole milk,organic grassfed vitamin d milk,71,3.33,3.75,5.42
kroger® 1% lowfat milk half gallon,"cream, half and half, lowfat",300,3.33,5,3.33
kroger® 1% lowfat chocolate milk gallon,"kroger, 1% lowfat milk, chocolate, chocolate",75,3.33,1.25,13.3
horizon organic dha omega-3 lowfat chocolate milk,"dha omega-3 organic lowfat milk, chocolate",71,3.33,1.25,11.7
horizon organic fat free milk half gallon,"cream, half and half, fat free",59,2.6,1.4,9
hershey's a2 milk aseptic chocolate milk,"candies, hershey's milk chocolate with almond bites",568,9.76,32.1,51.7
a2 milk® ultra-pasteurized whole milk,ultra-pasteurized whole milk,67,3.33,3.75,5
