kroger_product,description,calories,protein,fat,carbohydrates
horizon organic shelf-stable 1% low fat milk box - strawberry,"Strawberry milk, low fat (1%)",69,3.13,0.89,12.3
kroger® 2% reduced fat milk quart,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
horizon organic shelf stable whole milk,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
kroger® fat free skim milk half gallon,"Milk, fat free (skim)",34,3.43,0.08,4.92
kroger® vitamin d whole milk half gallon,"Milk, dry, whole, with added vitamin D",2080.0,26.3,26.7,38.4
simple truth organic® 2% reduced fat milk gallon,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
simple truth organic® 100% grassfed whole milk half gallon,"SIMPLE TRUTH ORGANIC, 100% WHOLE WHEAT BREAD",233,9.3,3.49,46.5
organic valley® whole milk half gallon,"GOLDEN FLOW WHOLE MILK, ONE HALF GALLON",62.0,3.33,3.33,5.0
organic valley® family first™ whole milk with dha & omega 3,ORGANIC DHA OMEGA-3 WHOLE MILK,62.0,3.33,3.33,5.0
organic valley® 2% reduced fat milk half gallon,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
horizon organic 1% lowfat strawberry milk,"HORIZON ORGANIC, 1% ORGANIC LOWFAT MILK",46.0,3.33,1.04,5.42
horizon organic 1% lowfat milk,"HORIZON ORGANIC, 1% ORGANIC LOWFAT MILK",46.0,3.33,1.04,5.42
simple truth organic® lactose free 2% reduced fat milk half gallon,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
simple truth organic® vitamin d whole milk half gallon,"Milk, dry, whole, with added vitamin D",2080.0,26.3,26.7,38.4
simple truth organic® lactose free vitamin d whole milk half gallon,LACTOSE FREE WHOLE VITAMIN D MILK,67.0,3.33,3.75,5.42
simple truth organic® 2% reduced fat milk half gallon,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
kroger® 2% reduced fat milk half gallon,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
simple truth organic® skim fat free milk half gallon,"Milk, fat free (skim)",34,3.43,0.08,4.92
simple truth organic® 1% lowfat chocolate milk,"SIMPLE TRUTH ORGANIC, DARK CHOCOLATE",575,5.0,40.0,50.0
kroger® carbmaster® ultra filtered skim vanilla milk,"FRENCH VANILLA ULTRA-FILTERED MILK, VANILLA",31.0,6.15,0.0,4.62
lala® lactose free 2% reduced fat shelf stable milk,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
lala® whole milk,"Milk, whole",61,3.27,3.2,4.63
